l_hip	l_knee	r_hip	r_knee	l_shoulder	l_elbow	r_shoulder	r_elbow
40	277	328	81	47	277	307	81
40	277	328	81	47	277	306	84
40	277	328	82	47	277	305	86
40	277	328	82	47	277	303	89
40	277	327	82	47	277	302	92
41	277	327	82	47	277	301	94
41	277	327	82	48	277	300	96
41	277	327	82	48	277	299	99
41	277	327	82	48	277	298	101
41	277	327	82	48	277	298	103
41	277	327	82	48	277	297	105
41	277	327	82	48	277	296	107
41	277	326	82	48	277	296	108
42	277	326	82	48	277	295	110
42	277	326	82	48	277	295	111
42	277	326	82	48	277	295	113
42	277	326	82	49	277	295	114
42	277	326	82	49	277	295	115
42	277	326	82	49	277	295	116
42	277	325	82	49	277	295	117
42	277	325	82	49	277	295	118
42	277	325	82	49	277	295	118
43	277	325	82	49	277	295	119
43	277	325	82	49	277	296	119
43	277	325	82	49	277	297	119
43	277	325	82	49	278	297	119
43	277	325	82	50	278	298	119
43	277	324	82	50	278	299	119
43	277	324	83	50	278	300	119
43	277	324	83	50	278	300	118
43	277	324	83	50	278	301	118
44	277	324	83	50	278	302	117
44	277	324	83	50	278	304	116
44	277	324	83	50	278	305	115
44	277	324	83	50	278	306	114
44	277	323	83	50	278	307	113
44	277	323	83	51	278	308	111
44	277	323	83	51	278	310	110
44	277	323	83	51	278	311	108
44	277	323	83	51	278	312	107
45	277	323	83	51	278	314	105
45	277	323	83	51	278	315	103
45	277	323	83	51	278	317	101
45	277	322	83	51	278	318	99
45	277	322	83	51	278	320	96
45	277	322	83	51	278	321	94
45	277	322	83	51	278	323	92
45	277	322	83	51	278	325	89
45	277	322	83	52	278	326	86
46	277	322	83	52	278	328	84
46	277	322	83	52	278	330	81
46	277	321	83	52	279	330	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
47	277	321	83	52	279	329	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	82
47	277	320	83	54	276	328	82
47	277	320	83	55	274	327	82
47	277	319	83	57	271	327	82
48	277	319	83	58	268	327	82
48	277	319	83	59	266	327	82
48	277	319	83	60	264	327	82
48	277	319	83	61	261	327	82
48	277	319	83	62	259	327	82
48	277	319	83	62	257	327	82
48	277	319	83	63	255	326	82
48	277	318	83	64	253	326	82
48	277	318	83	64	252	326	82
48	277	318	83	65	250	326	82
49	277	318	83	65	249	326	82
49	277	318	83	65	247	326	82
49	277	318	83	65	246	326	82
49	277	318	83	65	245	325	82
49	277	318	83	65	244	325	82
49	277	318	83	65	243	325	82
49	277	317	83	65	242	325	82
49	277	317	83	65	242	325	82
49	277	317	83	65	241	325	82
49	278	317	83	64	241	325	82
50	278	317	83	63	241	325	82
50	278	317	83	63	241	324	82
50	278	317	83	62	241	324	83
50	278	317	83	61	241	324	83
50	278	317	83	60	241	324	83
50	278	316	83	60	242	324	83
50	278	316	83	59	242	324	83
50	278	316	83	58	243	324	83
50	278	316	83	56	244	324	83
50	278	316	83	55	245	323	83
51	278	316	83	54	246	323	83
51	278	316	83	53	247	323	83
51	278	316	83	52	249	323	83
51	278	316	83	50	250	323	83
51	278	315	83	49	252	323	83
51	278	315	83	48	253	323	83
51	278	315	83	46	255	323	83
51	278	315	83	45	257	322	83
51	278	315	83	43	259	322	83
51	278	315	83	42	261	322	83
51	278	315	83	40	264	322	83
51	278	315	83	39	266	322	83
52	278	315	83	37	268	322	83
52	278	314	83	35	271	322	83
52	278	314	83	34	274	322	83
52	279	314	83	32	276	321	83
52	279	314	83	30	279	321	83
52	279	314	83	30	279	321	83
52	279	314	83	31	279	321	83
52	279	314	83	31	279	321	83
52	279	314	83	31	279	321	83
52	279	314	83	31	279	321	83
52	279	313	83	31	279	321	83
53	279	313	83	31	279	320	83
53	279	313	83	31	279	320	83
53	279	313	83	32	279	320	83
53	279	313	83	32	279	320	83
53	279	313	83	32	279	320	83
53	279	313	83	32	279	320	83
54	276	313	83	32	279	320	83
55	274	313	83	32	278	320	83
57	271	313	83	32	278	319	83
58	268	312	83	33	278	319	83
59	266	312	83	33	278	319	83
60	264	312	83	33	278	319	83
61	261	312	83	33	278	319	83
62	259	312	83	33	278	319	83
62	257	312	83	33	278	319	83
63	255	312	83	33	278	319	83
64	253	312	83	33	278	318	83
64	252	312	83	34	278	318	83
65	250	312	83	34	278	318	83
65	249	311	83	34	278	318	83
65	247	311	83	34	278	318	83
65	246	311	83	34	278	318	83
65	245	311	83	34	278	318	83
65	244	311	83	34	278	318	83
65	243	311	83	35	278	318	83
65	242	311	83	35	278	317	83
65	242	311	83	35	278	317	83
65	241	311	83	35	278	317	83
64	241	311	82	35	278	317	83
63	241	310	82	35	278	317	83
63	241	310	82	35	278	317	83
62	241	310	82	35	278	317	83
61	241	310	82	36	278	317	83
60	241	310	82	36	277	317	83
60	242	310	82	36	277	316	83
59	242	310	82	36	277	316	83
58	243	310	82	36	277	316	83
56	244	310	82	36	277	316	83
55	245	310	82	36	277	316	83
54	246	309	82	36	277	316	83
53	247	309	82	37	277	316	83
52	249	309	82	37	277	316	83
50	250	309	82	37	277	316	83
49	252	309	82	37	277	315	83
48	253	309	82	37	277	315	83
46	255	309	82	37	277	315	83
45	257	309	82	37	277	315	83
43	259	309	82	37	277	315	83
42	261	309	82	38	277	315	83
40	264	309	82	38	277	315	83
39	266	309	82	38	277	315	83
37	268	308	82	38	277	315	83
35	271	308	82	38	277	314	83
34	274	308	82	38	277	314	83
32	276	308	81	38	277	314	83
30	279	308	81	38	277	314	83
30	279	308	81	39	277	314	83
31	279	308	81	39	277	314	83
31	279	308	81	39	277	314	83
31	279	308	81	39	277	314	83
31	279	308	81	39	277	314	83
31	279	308	81	39	277	313	83
31	279	307	81	39	277	313	83
31	279	307	81	39	277	313	83
32	279	307	81	40	277	313	83
32	279	307	81	40	277	313	83
32	279	307	81	40	277	313	83
32	279	307	81	40	277	313	83
32	279	306	84	40	277	313	83
32	278	305	86	40	277	313	83
32	278	303	89	40	277	313	83
33	278	302	92	40	277	312	83
33	278	301	94	41	277	312	83
33	278	300	96	41	277	312	83
33	278	299	99	41	277	312	83
33	278	298	101	41	277	312	83
33	278	298	103	41	277	312	83
33	278	297	105	41	277	312	83
33	278	296	107	41	277	312	83
34	278	296	108	41	277	312	83
34	278	295	110	42	277	312	83
34	278	295	111	42	277	311	83
34	278	295	113	42	277	311	83
34	278	295	114	42	277	311	83
34	278	295	115	42	277	311	83
34	278	295	116	42	277	311	83
35	278	295	117	42	277	311	83
35	278	295	118	42	277	311	83
35	278	295	118	42	277	311	83
35	278	295	119	43	277	311	83
35	278	296	119	43	277	311	82
35	278	297	119	43	277	310	82
35	278	297	119	43	277	310	82
35	278	298	119	43	277	310	82
36	278	299	119	43	277	310	82
36	277	300	119	43	277	310	82
36	277	300	118	43	277	310	82
36	277	301	118	43	277	310	82
36	277	302	117	44	277	310	82
36	277	304	116	44	277	310	82
36	277	305	115	44	277	310	82
36	277	306	114	44	277	309	82
37	277	307	113	44	277	309	82
37	277	308	111	44	277	309	82
37	277	310	110	44	277	309	82
37	277	311	108	44	277	309	82
37	277	312	107	44	277	309	82
37	277	314	105	45	277	309	82
37	277	315	103	45	277	309	82
37	277	317	101	45	277	309	82
38	277	318	99	45	277	309	82
38	277	320	96	45	277	309	82
38	277	321	94	45	277	309	82
38	277	323	92	45	277	308	82
38	277	325	89	45	277	308	82
38	277	326	86	45	277	308	82
38	277	328	84	46	277	308	81
38	277	330	81	46	277	308	81
39	277	330	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	307	81
39	277	329	81	47	277	307	81
40	277	328	81	47	277	307	81
40	277	328	81	47	277	307	81
40	277	328	81	47	277	307	81
40	277	328	81	47	277	307	81
40	277	328	81	47	277	306	84
40	277	328	82	47	277	305	86
40	277	328	82	47	277	303	89
40	277	327	82	47	277	302	92
41	277	327	82	47	277	301	94
41	277	327	82	48	277	300	96
41	277	327	82	48	277	299	99
41	277	327	82	48	277	298	101
41	277	327	82	48	277	298	103
41	277	327	82	48	277	297	105
41	277	327	82	48	277	296	107
41	277	326	82	48	277	296	108
42	277	326	82	48	277	295	110
42	277	326	82	48	277	295	111
42	277	326	82	48	277	295	113
42	277	326	82	49	277	295	114
42	277	326	82	49	277	295	115
42	277	326	82	49	277	295	116
42	277	325	82	49	277	295	117
42	277	325	82	49	277	295	118
42	277	325	82	49	277	295	118
43	277	325	82	49	277	295	119
43	277	325	82	49	277	296	119
43	277	325	82	49	277	297	119
43	277	325	82	49	278	297	119
43	277	325	82	50	278	298	119
43	277	324	82	50	278	299	119
43	277	324	83	50	278	300	119
43	277	324	83	50	278	300	118
43	277	324	83	50	278	301	118
44	277	324	83	50	278	302	117
44	277	324	83	50	278	304	116
44	277	324	83	50	278	305	115
44	277	324	83	50	278	306	114
44	277	323	83	50	278	307	113
44	277	323	83	51	278	308	111
44	277	323	83	51	278	310	110
44	277	323	83	51	278	311	108
44	277	323	83	51	278	312	107
45	277	323	83	51	278	314	105
45	277	323	83	51	278	315	103
45	277	323	83	51	278	317	101
45	277	322	83	51	278	318	99
45	277	322	83	51	278	320	96
45	277	322	83	51	278	321	94
45	277	322	83	51	278	323	92
45	277	322	83	51	278	325	89
45	277	322	83	52	278	326	86
46	277	322	83	52	278	328	84
46	277	322	83	52	278	330	81
46	277	321	83	52	279	330	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
47	277	321	83	52	279	329	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	82
47	277	320	83	54	276	328	82
47	277	320	83	55	274	327	82
47	277	319	83	57	271	327	82
48	277	319	83	58	268	327	82
48	277	319	83	59	266	327	82
48	277	319	83	60	264	327	82
48	277	319	83	61	261	327	82
48	277	319	83	62	259	327	82
48	277	319	83	62	257	327	82
48	277	319	83	63	255	326	82
48	277	318	83	64	253	326	82
48	277	318	83	64	252	326	82
48	277	318	83	65	250	326	82
49	277	318	83	65	249	326	82
49	277	318	83	65	247	326	82
49	277	318	83	65	246	326	82
49	277	318	83	65	245	325	82
49	277	318	83	65	244	325	82
49	277	318	83	65	243	325	82
49	277	317	83	65	242	325	82
49	277	317	83	65	242	325	82
49	277	317	83	65	241	325	82
49	278	317	83	64	241	325	82
50	278	317	83	63	241	325	82
50	278	317	83	63	241	324	82
50	278	317	83	62	241	324	83
50	278	317	83	61	241	324	83
50	278	317	83	60	241	324	83
50	278	316	83	60	242	324	83
50	278	316	83	59	242	324	83
50	278	316	83	58	243	324	83
50	278	316	83	56	244	324	83
50	278	316	83	55	245	323	83
51	278	316	83	54	246	323	83
51	278	316	83	53	247	323	83
51	278	316	83	52	249	323	83
51	278	316	83	50	250	323	83
51	278	315	83	49	252	323	83
51	278	315	83	48	253	323	83
51	278	315	83	46	255	323	83
51	278	315	83	45	257	322	83
51	278	315	83	43	259	322	83
51	278	315	83	42	261	322	83
51	278	315	83	40	264	322	83
51	278	315	83	39	266	322	83
52	278	315	83	37	268	322	83
52	278	314	83	35	271	322	83
52	278	314	83	34	274	322	83
52	279	314	83	32	276	321	83
52	279	314	83	30	279	321	83
52	279	314	83	30	279	321	83
52	279	314	83	31	279	321	83
52	279	314	83	31	279	321	83
52	279	314	83	31	279	321	83
52	279	314	83	31	279	321	83
52	279	313	83	31	279	321	83
53	279	313	83	31	279	320	83
53	279	313	83	31	279	320	83
53	279	313	83	32	279	320	83
53	279	313	83	32	279	320	83
53	279	313	83	32	279	320	83
53	279	313	83	32	279	320	83
54	276	313	83	32	279	320	83
55	274	313	83	32	278	320	83
57	271	313	83	32	278	319	83
58	268	312	83	33	278	319	83
59	266	312	83	33	278	319	83
60	264	312	83	33	278	319	83
61	261	312	83	33	278	319	83
62	259	312	83	33	278	319	83
62	257	312	83	33	278	319	83
63	255	312	83	33	278	319	83
64	253	312	83	33	278	318	83
64	252	312	83	34	278	318	83
65	250	312	83	34	278	318	83
65	249	311	83	34	278	318	83
65	247	311	83	34	278	318	83
65	246	311	83	34	278	318	83
65	245	311	83	34	278	318	83
65	244	311	83	34	278	318	83
65	243	311	83	35	278	318	83
65	242	311	83	35	278	317	83
65	242	311	83	35	278	317	83
65	241	311	83	35	278	317	83
64	241	311	82	35	278	317	83
63	241	310	82	35	278	317	83
63	241	310	82	35	278	317	83
62	241	310	82	35	278	317	83
61	241	310	82	36	278	317	83
60	241	310	82	36	277	317	83
60	242	310	82	36	277	316	83
59	242	310	82	36	277	316	83
58	243	310	82	36	277	316	83
56	244	310	82	36	277	316	83
55	245	310	82	36	277	316	83
54	246	309	82	36	277	316	83
53	247	309	82	37	277	316	83
52	249	309	82	37	277	316	83
50	250	309	82	37	277	316	83
49	252	309	82	37	277	315	83
48	253	309	82	37	277	315	83
46	255	309	82	37	277	315	83
45	257	309	82	37	277	315	83
43	259	309	82	37	277	315	83
42	261	309	82	38	277	315	83
40	264	309	82	38	277	315	83
39	266	309	82	38	277	315	83
37	268	308	82	38	277	315	83
35	271	308	82	38	277	314	83
34	274	308	82	38	277	314	83
32	276	308	81	38	277	314	83
30	279	308	81	38	277	314	83
30	279	308	81	39	277	314	83
31	279	308	81	39	277	314	83
31	279	308	81	39	277	314	83
31	279	308	81	39	277	314	83
31	279	308	81	39	277	314	83
31	279	308	81	39	277	313	83
31	279	307	81	39	277	313	83
31	279	307	81	39	277	313	83
32	279	307	81	40	277	313	83
32	279	307	81	40	277	313	83
32	279	307	81	40	277	313	83
32	279	307	81	40	277	313	83
32	279	306	84	40	277	313	83
32	278	305	86	40	277	313	83
32	278	303	89	40	277	313	83
33	278	302	92	40	277	312	83
33	278	301	94	41	277	312	83
33	278	300	96	41	277	312	83
33	278	299	99	41	277	312	83
33	278	298	101	41	277	312	83
33	278	298	103	41	277	312	83
33	278	297	105	41	277	312	83
33	278	296	107	41	277	312	83
34	278	296	108	41	277	312	83
34	278	295	110	42	277	312	83
34	278	295	111	42	277	311	83
34	278	295	113	42	277	311	83
34	278	295	114	42	277	311	83
34	278	295	115	42	277	311	83
34	278	295	116	42	277	311	83
35	278	295	117	42	277	311	83
35	278	295	118	42	277	311	83
35	278	295	118	42	277	311	83
35	278	295	119	43	277	311	83
35	278	296	119	43	277	311	82
35	278	297	119	43	277	310	82
35	278	297	119	43	277	310	82
35	278	298	119	43	277	310	82
36	278	299	119	43	277	310	82
36	277	300	119	43	277	310	82
36	277	300	118	43	277	310	82
36	277	301	118	43	277	310	82
36	277	302	117	44	277	310	82
36	277	304	116	44	277	310	82
36	277	305	115	44	277	310	82
36	277	306	114	44	277	309	82
37	277	307	113	44	277	309	82
37	277	308	111	44	277	309	82
37	277	310	110	44	277	309	82
37	277	311	108	44	277	309	82
37	277	312	107	44	277	309	82
37	277	314	105	45	277	309	82
37	277	315	103	45	277	309	82
37	277	317	101	45	277	309	82
38	277	318	99	45	277	309	82
38	277	320	96	45	277	309	82
38	277	321	94	45	277	309	82
38	277	323	92	45	277	308	82
38	277	325	89	45	277	308	82
38	277	326	86	45	277	308	82
38	277	328	84	46	277	308	81
38	277	330	81	46	277	308	81
39	277	330	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	308	81
39	277	329	81	46	277	307	81
39	277	329	81	47	277	307	81
40	277	328	81	47	277	307	81
40	277	328	81	47	277	307	81
40	277	328	81	47	277	307	81
40	277	328	81	47	277	307	81
40	277	328	81	47	277	306	84
40	277	328	82	47	277	305	86
40	277	328	82	47	277	303	89
40	277	327	82	47	277	302	92
41	277	327	82	47	277	301	94
41	277	327	82	48	277	300	96
41	277	327	82	48	277	299	99
41	277	327	82	48	277	298	101
41	277	327	82	48	277	298	103
41	277	327	82	48	277	297	105
41	277	327	82	48	277	296	107
41	277	326	82	48	277	296	108
42	277	326	82	48	277	295	110
42	277	326	82	48	277	295	111
42	277	326	82	48	277	295	113
42	277	326	82	49	277	295	114
42	277	326	82	49	277	295	115
42	277	326	82	49	277	295	116
42	277	325	82	49	277	295	117
42	277	325	82	49	277	295	118
42	277	325	82	49	277	295	118
43	277	325	82	49	277	295	119
43	277	325	82	49	277	296	119
43	277	325	82	49	277	297	119
43	277	325	82	49	278	297	119
43	277	325	82	50	278	298	119
43	277	324	82	50	278	299	119
43	277	324	83	50	278	300	119
43	277	324	83	50	278	300	118
43	277	324	83	50	278	301	118
44	277	324	83	50	278	302	117
44	277	324	83	50	278	304	116
44	277	324	83	50	278	305	115
44	277	324	83	50	278	306	114
44	277	323	83	50	278	307	113
44	277	323	83	51	278	308	111
44	277	323	83	51	278	310	110
44	277	323	83	51	278	311	108
44	277	323	83	51	278	312	107
45	277	323	83	51	278	314	105
45	277	323	83	51	278	315	103
45	277	323	83	51	278	317	101
45	277	322	83	51	278	318	99
45	277	322	83	51	278	320	96
45	277	322	83	51	278	321	94
45	277	322	83	51	278	323	92
45	277	322	83	51	278	325	89
45	277	322	83	52	278	326	86
46	277	322	83	52	278	328	84
46	277	322	83	52	278	330	81
46	277	321	83	52	279	330	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
46	277	321	83	52	279	329	81
47	277	321	83	52	279	329	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	81
47	277	320	83	53	279	328	82
47	277	320	83	54	276	328	82
47	277	320	83	55	274	327	82
47	277	319	83	57	271	327	82
48	277	319	83	58	268	327	82
48	277	319	83	59	266	327	82
48	277	319	83	60	264	327	82
48	277	319	83	61	261	327	82
48	277	319	83	62	259	327	82
48	277	319	83	62	257	327	82
48	277	319	83	63	255	326	82
48	277	318	83	64	253	326	82
48	277	318	83	64	252	326	82
48	277	318	83	65	250	326	82
49	277	318	83	65	249	326	82
49	277	318	83	65	247	326	82
49	277	318	83	65	246	326	82
49	277	318	83	65	245	325	82
49	277	318	83	65	244	325	82
49	277	318	83	65	243	325	82
49	277	317	83	65	242	325	82
49	277	317	83	65	242	325	82
49	277	317	83	65	241	325	82
49	278	317	83	64	241	325	82
50	278	317	83	63	241	325	82
50	278	317	83	63	241	324	82
50	278	317	83	62	241	324	83
50	278	317	83	61	241	324	83
50	278	317	83	60	241	324	83
50	278	316	83	60	242	324	83
50	278	316	83	59	242	324	83
50	278	316	83	58	243	324	83
50	278	316	83	56	244	324	83
50	278	316	83	55	245	323	83
51	278	316	83	54	246	323	83
51	278	316	83	53	247	323	83
51	278	316	83	52	249	323	83
51	278	316	83	50	250	323	83
51	278	315	83	49	252	323	83
51	278	315	83	48	253	323	83
51	278	315	83	46	255	323	83
51	278	315	83	45	257	322	83
51	278	315	83	43	259	322	83
51	278	315	83	42	261	322	83
51	278	315	83	40	264	322	83
51	278	315	83	39	266	322	83
52	278	315	83	37	268	322	83
52	278	314	83	35	271	322	83
52	278	314	83	34	274	322	83
52	279	314	83	32	276	321	83
52	279	314	83	30	279	321	83
52	279	314	83	30	279	321	83
52	279	314	83	31	279	321	83
52	279	314	83	31	279	321	83
52	279	314	83	31	279	321	83
52	279	314	83	31	279	321	83
52	279	313	83	31	279	321	83
53	279	313	83	31	279	320	83
53	279	313	83	31	279	320	83
